Count of EmpID,Column Labels,,
Row Labels,No,Yes,Grand Total
18,4,4,8
19,3,6,9
20,5,6,11
21,7,6,13
22,11,5,16
23,10,4,14
24,19,7,26
25,20,6,26
26,28,12,40
27,46,3,49
28,34,14,48
29,51,18,69
30,51,9,60
31,52,18,70
32,50,11,61
33,46,12,58
34,69,9,78
35,68,10,78
36,64,6,70
37,44,6,50
38,56,2,58
39,38,6,44
40,52,5,57
41,34,6,40
42,44,2,46
43,30,2,32
44,27,6,33
45,39,2,41
46,29,4,33
47,21,3,24
48,17,2,19
49,23,2,25
50,25,6,31
51,17,2,19
52,15,3,18
53,17,2,19
54,18,,18
55,19,3,22
56,11,3,14
57,4,,4
58,9,5,14
59,10,,10
60,5,,5
Grand Total,1242,238,1480
